City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,hamilton,39.1834,-84.5333,14.49,69,0,0.45,US,1728609764
83,college,64.8569,-147.8028,1.99,79,100,1.54,US,1728610299
84,at taraf,25.3628,49.725,26.3,65,0,2.57,SA,1728610300
85,iskateley,67.6803,53.1512,-2.71,63,100,8.11,RU,1728610301
86,likiep,9.8251,169.3107,27.49,75,100,3.65,MH,1728610303
87,yasinya,48.2794,24.3604,10.92,87,15,1.76,UA,1728610304
88,taoudenni,22.6783,-3.9836,33.9,22,1,5.59,ML,1728610305
89,cidreira,-30.1811,-50.2056,19.29,90,100,11.39,BR,1728610306
90,al harithah,30.7186,47.7208,20.98,32,0,3.09,IQ,1728610307
91,san julian,21.0167,-102.1667,13.96,42,7,3.7,MX,1728610308
92,casas grandes,30.3667,-107.95,21.09,20,2,3.01,MX,1728610309
93,port mathurin,-19.6833,63.4167,22.31,79,100,10.56,MU,1728610310
94,saipan,15.1355,145.701,29.39,84,75,3.09,MP,1728610311
95,olonkinbyen,70.9221,-8.7187,-3.13,92,100,20.83,SJ,1728610312
96,pyapon,16.2833,95.6833,28.43,79,6,1.55,MM,1728610314
97,margaret river,-33.95,115.0667,21.36,58,100,4.62,AU,1728610315
98,puerto natales,-51.7236,-72.4875,3.78,89,100,4.7,CL,1728610316
99,babayurt,43.6002,46.7789,13.3,73,100,1.97,RU,1728610317
100,touros,-5.1989,-35.4608,25.41,72,100,6.34,BR,1728610238
101,talnakh,69.4865,88.3972,-12.37,92,28,3.62,RU,1728610319
102,kone,-21.0595,164.8658,30.01,39,0,5.16,NC,1728610320
103,kapa'a,22.0752,-159.319,29.18,83,75,5.66,US,1728610321
104,buala,-8.145,159.5921,28.77,74,54,1.62,SB,1728610323
105,usinsk,65.9939,57.5281,-7.97,88,6,3.56,RU,1728610324
106,nemuro,43.3236,145.575,10.36,81,100,9.99,JP,1728610325
107,haiku-pauwela,20.9219,-156.3051,27.9,80,100,9.39,US,1728610326
108,kalengwa,-13.4659,25.0027,12.79,38,0,2.37,ZM,1728610327
109,puerto ayora,-0.7393,-90.3518,20.31,95,98,3.58,EC,1728610328
110,kralendijk,12.15,-68.2667,29.99,79,20,6.17,BQ,1728610329
111,santa cruz,-17.8,-63.1667,24.7,88,75,2.57,BO,1728610162
112,san luis de la loma,17.2706,-100.8939,24.99,90,99,2.45,MX,1728610332
113,albany,42.6001,-73.9662,9.23,65,4,0.89,US,1728610207
114,swift current,50.2834,-107.8014,9.45,53,0,2.57,CA,1728610334
115,geraldton,-28.7667,114.6,28.23,44,0,3.6,AU,1728610335
116,poronaysk,49.2167,143.1167,10.63,61,100,6.12,RU,1728610336
117,aweil,8.7682,27.4002,22.05,94,81,0.84,SS,1728610337
118,nova vicosa,-17.8919,-39.3719,23.99,90,100,2.73,BR,1728610338
119,kedrovyy,56.1667,91.8167,-4.53,69,68,1.59,RU,1728610339
120,uturoa,-16.7333,-151.4333,23.88,85,100,9.13,PF,1728610340
121,yuzhno-kurilsk,44.0306,145.8556,7.85,91,100,3.28,RU,1728610341
122,tobelo,1.7284,128.0095,29.18,67,100,1.46,ID,1728610343
123,forster,-32.1667,152.5167,24.1,69,3,5.06,AU,1728610344
124,tralee,52.2704,-9.7026,7.16,79,85,0.44,IE,1728610345
125,ivanovskoye,44.5795,41.8764,12.94,72,90,1.38,RU,1728610346
126,hermanus,-34.4187,19.2345,14.13,79,100,2.23,ZA,1728610347
127,gunjur,13.2019,-16.7339,26.04,78,75,4.63,GM,1728610348
128,fale old settlement,-9.3852,-171.2468,28.03,77,93,4.59,TK,1728610349
129,san pedro pochutla,15.7333,-96.4667,26.84,90,82,1.52,MX,1728610350
130,hawaiian paradise park,19.5933,-154.9731,26.73,81,0,3.6,US,1728610352
131,balabac,7.9868,117.0645,30.35,66,11,4.62,PH,1728610353
132,juan griego,11.0817,-63.9655,22.07,100,100,6.69,VE,1728610354
133,zilair,52.2332,57.4392,-0.89,75,100,5.21,RU,1728610355
134,bumba,2.1833,22.4667,19.89,97,73,0.24,CD,1728610356
135,klyuchi,52.2667,79.1667,6.45,54,100,8.39,RU,1728610357
136,chegdomyn,51.1167,133.0167,5.85,69,58,4.06,RU,1728610358
137,mejit,10.2753,170.8646,27.92,77,100,5.31,MH,1728610359
138,nuuk,64.1835,-51.7216,-1.66,100,100,0.0,GL,1728610360
139,oban,56.4127,-5.4706,8.87,79,99,9.07,GB,1728610361
140,montmagny,48.9734,2.3469,10.01,98,0,2.57,FR,1728610363
141,quellon,-43.1167,-73.6167,5.76,91,30,2.64,CL,1728610364
142,maumere,-8.6199,122.2111,30.55,62,98,1.06,ID,1728610365
143,tiksi,71.6872,128.8694,-5.19,88,96,2.1,RU,1728610366
144,kingston,17.997,-76.7936,29.53,79,20,1.54,JM,1728609906
145,ad dilam,23.9915,47.1627,24.65,25,0,1.03,SA,1728610368
146,vadso,70.0744,29.7487,5.09,81,75,4.63,NO,1728610369
147,reggane,26.7158,0.1714,31.06,23,0,3.36,DZ,1728610370
148,enewetak,11.3474,162.3373,28.88,75,100,3.51,MH,1728610371
149,turkmenbasy,40.0222,52.9552,13.43,94,0,3.09,TM,1728610373
150,ribeira grande,38.5167,-28.7,18.21,87,100,4.02,PT,1728610374
151,jamestown,42.097,-79.2353,6.8,90,0,2.57,US,1728610375
152,stanley,54.868,-1.6985,2.38,92,0,3.6,GB,1728610376
153,atafu village,-8.5421,-172.5159,28.25,76,26,4.24,TK,1728610377
154,antsiranana,-12.2787,49.2917,23.99,61,2,7.85,MG,1728610378
155,east london,-33.0153,27.9116,18.08,78,99,6.55,ZA,1728610379
156,avarua,-21.2078,-159.775,25.03,73,20,8.23,CK,1728610380
157,anloga,5.7947,0.8973,26.03,85,99,3.56,GH,1728610381
158,shubarshi,48.5872,57.1869,5.39,73,13,6.02,KZ,1728610383
159,kiunga,-6.1219,141.2906,33.21,55,61,1.19,PG,1728610384
160,tongliao,43.6125,122.2653,18.07,33,3,4.73,CN,1728610385
161,rawai,7.7797,98.3253,27.36,77,100,2.68,TH,1728610386
162,alo,6.5486,4.2686,24.83,89,40,1.26,NG,1728610387
